name,player_y,slug,date_x
Aaron Brooks,Aaron Brooks,brookaa01,10/24/17
Aaron Gordon,Aaron Gordon,gordoaa01,10/18/17
Aaron Holiday,Aaron Holiday,holidaa01,10/17/18
Abdel Nader,Abdel Nader,naderab01,10/18/17
Adreian Payne,Adreian Payne,paynead01,12/13/17
Al Horford,Al Horford,horfoal01,10/17/17
Al Jefferson,Al Jefferson,jeffeal01,10/20/17
Al-Farouq Aminu,Al-Farouq Aminu,aminual01,10/18/17
Alan Williams,Alan Williams,willial03,3/26/18
Alec Burks,Alec Burks,burksal01,10/18/17
Alec Peters,Alec Peters,peteral01,10/18/17
Alex Caruso,Alex Caruso,carusal01,10/19/17
Alex Len,Alex Len,lenal01,10/20/17
Alex Poythress,Alex Poythress,poythal01,10/20/17
Alfonzo McKinnie,Alfonzo McKinnie,mckinal01,10/19/17
Alize Johnson,Alize Johnson,johnsal02,10/19/18
Allen Crabbe,Allen Crabbe,crabbal01,10/18/17
Allonzo Trier,Allonzo Trier,trieral01,10/17/18
Amile Jefferson,Amile Jefferson,jeffeam01,12/31/18
Amir Johnson,Amir Johnson,johnsam01,10/18/17
Andre Drummond,Andre Drummond,drumman01,10/18/17
Andre Iguodala,Andre Iguodala,iguodan01,10/20/17
Andre Roberson,Andre Roberson,roberan03,10/19/17
Andrew Bogut,Andrew Bogut,bogutan01,10/19/17
Andrew Harrison,Andrew Harrison,harrian01,10/18/17
Andrew Wiggins,Andrew Wiggins,wiggian01,10/18/17
Anfernee Simons,Anfernee Simons,simonan01,10/30/18
Anthony Brown,Anthony Brown,brownan02,4/1/18
Anthony Davis,Anthony Davis,davisan02,10/18/17
Anthony Tolliver,Anthony Tolliver,tollian01,10/21/17
Antonio Blakeney,Antonio Blakeney,blakean01,10/19/17
Aron Baynes,Aron Baynes,baynear01,10/17/17
Arron Afflalo,Arron Afflalo,afflaar01,10/20/17
Austin Rivers,Austin Rivers,riverau01,10/19/17
Avery Bradley,Avery Bradley,bradlav01,10/18/17
B.J. Johnson,B.J. Johnson,johnsbj01,3/3/19
Bam Adebayo,Bam Adebayo,adebaba01,10/18/17
Ben McLemore,Ben McLemore,mclembe01,11/11/17
Ben Moore,Ben Moore,moorebe01,1/24/18
Ben Simmons,Ben Simmons,simmobe01,10/18/17
Bismack Biyombo,Bismack Biyombo,biyombi01,10/18/17
Blake Griffin,Blake Griffin,griffbl01,10/19/17
Bobby Brown,Bobby Brown,brownbo02,10/21/17
Bobby Portis,Bobby Portis,portibo01,11/7/17
Bonzie Colson,Bonzie Colson,colsobo01,2/25/19
Brad Wanamaker,Brad Wanamaker,wanambr01,10/16/18
Bradley Beal,Bradley Beal,bealbr01,10/18/17
Brandan Wright,Brandan Wright,wrighbr03,10/18/17
Brandon Goodwin,Brandon Goodwin,goodwbr01,12/18/18
Brandon Ingram,Brandon Ingram,ingrabr01,10/19/17
Brandon Knight,Brandon Knight,knighbr03,12/13/18
Brandon Paul,Brandon Paul,paulbr01,10/18/17
Brandon Sampson,Brandon Sampson,sampsbr01,1/30/19
Briante Weber,Briante Weber,weberbr01,11/22/17
Brice Johnson,Brice Johnson,johnsbr02,10/21/17
Brook Lopez,Brook Lopez,lopezbr01,10/19/17
Bryn Forbes,Bryn Forbes,forbebr01,10/18/17
Buddy Hield,Buddy Hield,hieldbu01,10/18/17
C.J. Miles,C.J. Miles,milescj01,10/19/17
C.J. Williams,C.J. Williams,willicj01,11/10/17
Caleb Swanigan,Caleb Swanigan,swanica01,10/18/17
Cameron Payne,Cameron Payne,payneca01,2/22/18
Cameron Reynolds,Cameron Reynolds,reynoca01,3/3/19
Caris LeVert,Caris LeVert,leverca01,10/18/17
Carmelo Anthony,Carmelo Anthony,anthoca01,10/19/17
Cedi Osman,Cedi Osman,osmande01,10/20/17
Chandler Hutchison,Chandler Hutchison,hutchch01,10/18/18
Chandler Parsons,Chandler Parsons,parsoch01,10/18/17
Channing Frye,Channing Frye,fryech01,10/20/17
Charles Cooke,Charles Cooke,cookech01,10/28/17
Cheick Diallo,Cheick Diallo,diallch01,10/18/17
Chimezie Metu,Chimezie Metu,metuch01,10/20/18
Chinanu Onuaku,Chinanu Onuaku,onuakch01,4/11/18
Chris Boucher,Chris Boucher,bouchch01,3/14/18
Chris McCullough,Chris McCullough,mcculch01,10/29/17
Chris Paul,Chris Paul,paulch01,10/17/17
Christian Wood,Christian Wood,woodch01,10/17/18
Clint Capela,Clint Capela,capelca01,10/17/17
Cody Zeller,Cody Zeller,zelleco01,10/18/17
Cole Aldrich,Cole Aldrich,aldrico01,10/24/17
Collin Sexton,Collin Sexton,sextoco01,10/17/18
Corey Brewer,Corey Brewer,breweco01,10/19/17
Cory Joseph,Cory Joseph,josepco01,10/18/17
Courtney Lee,Courtney Lee,leeco01,10/19/17
D.J. Augustin,D.J. Augustin,augusdj01,10/18/17
D.J. Stephens,D.J. Stephens,stephdj01,12/8/18
D.J. Wilson,D.J. Wilson,wilsodj01,10/20/17
D'Angelo Russell,D'Angelo Russell,russeda01,10/18/17
Dakari Johnson,Dakari Johnson,johnsda04,10/19/17
Damian Jones,Damian Jones,jonesda03,12/20/17
Damian Lillard,Damian Lillard,lillada01,10/18/17
Damien Wilkins,Damien Wilkins,wilkida02,10/18/17
Damyean Dotson,Damyean Dotson,dotsoda01,10/19/17
Daniel Hamilton,Daniel Hamilton,hamilda02,11/15/17
Daniel Theis,Daniel Theis,theisda01,10/18/17
Danilo Gallinari,Danilo Gallinari,gallida01,10/19/17
Danny Green,Danny Green,greenda02,10/18/17
Dante Cunningham,Dante Cunningham,cunnida01,10/18/17
Dante Exum,Dante Exum,exumda01,3/15/18
Danuel House,Danuel House,houseda01,12/9/17
Darius Miller,Darius Miller,milleda01,10/18/17
Darrell Arthur,Darrell Arthur,arthuda01,10/30/17
Darren Collison,Darren Collison,collida01,10/18/17
Darrun Hilliard,Darrun Hilliard,hillida01,11/5/17
Daryl Macon,Daryl Macon,maconda01,10/26/18
David Nwaba,David Nwaba,nwabada01,10/19/17
David Stockton,David Stockton,stockda01,3/25/18
David West,David West,westda01,10/17/17
Davon Reed,Davon Reed,reedda01,1/14/18
De'Aaron Fox,De'Aaron Fox,foxde01,10/18/17
De'Anthony Melton,De'Anthony Melton,meltode01,10/22/18
Deandre Ayton,Deandre Ayton,aytonde01,10/17/18
DeAndre Jordan,DeAndre Jordan,jordade01,10/19/17
DeAndre Liggins,DeAndre Liggins,liggide01,10/21/17
Dejounte Murray,Dejounte Murray,murrade01,10/18/17
Delon Wright,Delon Wright,wrighde01,10/19/17
DeMar DeRozan,DeMar DeRozan,derozde01,10/19/17
DeMarcus Cousins,DeMarcus Cousins,couside01,10/18/17
DeMarre Carroll,DeMarre Carroll,carrode01,10/18/17
Demetrius Jackson,Demetrius Jackson,jacksde01,10/18/17
Deng Adel,Deng Adel,adelde01,1/19/19
Denzel Valentine,Denzel Valentine,valende01,10/19/17
Deonte Burton,Deonte Burton,burtode02,10/19/18
Derrick Favors,Derrick Favors,favorde01,10/18/17
Derrick Rose,Derrick Rose,rosede01,10/17/17
Derrick White,Derrick White,whitede01,10/18/17
Derrick Williams,Derrick Williams,willide02,3/11/18
DeVaughn Akoon-Purcell,DeVaughn Akoon-Purcell,akoonde01,10/23/18
Devin Booker,Devin Booker,bookede01,10/18/17
Devin Harris,Devin Harris,harride01,10/18/17
Devin Robinson,Devin Robinson,robinde01,4/11/18
Devonte' Graham,Devonte' Graham,grahade01,10/22/18
Dewayne Dedmon,Dewayne Dedmon,dedmode01,10/18/17
Deyonta Davis,Deyonta Davis,davisde01,10/28/17
Dillon Brooks,Dillon Brooks,brookdi01,10/18/17
Dion Waiters,Dion Waiters,waitedi01,10/18/17
Dirk Nowitzki,Dirk Nowitzki,nowitdi01,10/18/17
Domantas Sabonis,Domantas Sabonis,sabondo01,10/18/17
Donovan Mitchell,Donovan Mitchell,mitchdo01,10/18/17
Donte DiVincenzo,Donte DiVincenzo,divindo01,10/17/18
Donte Grantham,Donte Grantham,grantdo01,2/7/19
Dorian Finney-Smith,Dorian Finney-Smith,finnedo01,10/18/17
Doug McDermott,Doug McDermott,mcderdo01,10/19/17
Dragan Bender,Dragan Bender,bendedr01,10/18/17
Draymond Green,Draymond Green,greendr01,10/17/17
Drew Eubanks,Drew Eubanks,eubandr01,10/20/18
Duncan Robinson,Duncan Robinson,robindu01,10/24/18
Dusty Hannahs,Dusty Hannahs,hannadu01,3/31/19
Dwayne Bacon,Dwayne Bacon,bacondw01,10/18/17
Dwight Howard,Dwight Howard,howardw01,10/18/17
Dwight Powell,Dwight Powell,poweldw01,10/18/17
Dwyane Wade,Dwyane Wade,wadedw01,10/17/17
E'Twaun Moore,E'Twaun Moore,mooreet01,10/18/17
Ed Davis,Ed Davis,davised01,10/18/17
Edmond Sumner,Edmond Sumner,sumneed01,4/10/18
Ekpe Udoh,Ekpe Udoh,udohek01,10/18/17
Elfrid Payton,Elfrid Payton,paytoel01,10/18/17
Emeka Okafor,Emeka Okafor,okafoem01,2/5/18
Emmanuel Mudiay,Emmanuel Mudiay,mudiaem01,10/18/17
Enes Kanter,Enes Kanter,kanteen01,10/19/17
Eric Bledsoe,Eric Bledsoe,bledser01,10/18/17
Eric Gordon,Eric Gordon,gordoer01,10/17/17
Eric Moreland,Eric Moreland,moreler01,10/18/17
Erik McCree,Erik McCree,mccreer01,2/5/18
Evan Fournier,Evan Fournier,fournev01,10/18/17
Evan Turner,Evan Turner,turneev01,10/18/17
Frank Jackson,Frank Jackson,jacksfr01,10/17/18
Frank Kaminsky,Frank Kaminsky,kaminfr01,10/18/17
Frank Ntilikina,Frank Ntilikina,ntilila01,10/19/17
Fred VanVleet,Fred VanVleet,vanvlfr01,10/19/17
Furkan Korkmaz,Furkan Korkmaz,korkmfu01,11/11/17
Garrett Temple,Garrett Temple,templga01,10/18/17
Gary Clark,Gary Clark,clarkga01,10/17/18
Gary Harris,Gary Harris,harriga01,10/18/17
George Hill,George Hill,hillge01,10/18/17
George King,George King,kingge03,12/11/18
Georges Niang,Georges Niang,niangge01,1/30/18
Georgios Papagiannis,Georgios Papagiannis,papagge01,10/29/17
Gian Clavell,Gian Clavell,clavegi01,10/20/17
Giannis Antetokounmpo,Giannis Antetokounmpo,antetgi01,10/18/17
Goran Dragi?,Goran Dragic,dragigo01,10/18/17
Gordon Hayward,Gordon Hayward,haywago01,10/17/17
Gorgui Dieng,Gorgui Dieng,dienggo01,10/18/17
Grayson Allen,Grayson Allen,allengr01,10/22/18
Greg Monroe,Greg Monroe,monrogr01,10/18/17
Guerschon Yabusele,Guerschon Yabusele,yabusgu01,10/20/17
Hamidou Diallo,Hamidou Diallo,diallha01,10/16/18
Harrison Barnes,Harrison Barnes,barneha02,10/18/17
Harry Giles,Harry Giles,gilesha01,10/17/18
Hassan Whiteside,Hassan Whiteside,whiteha01,10/18/17
Henry Ellenson,Henry Ellenson,ellenhe01,10/18/17
Ian Clark,Ian Clark,clarkia01,10/18/17
Ian Mahinmi,Ian Mahinmi,mahinia01,10/18/17
Ike Anigbogu,Ike Anigbogu,anigbik01,10/20/17
Iman Shumpert,Iman Shumpert,shumpim01,10/17/17
Isaac Bonga,Isaac Bonga,bongais01,12/7/18
Isaac Humphries,Isaac Humphries,humphis01,4/2/19
Isaiah Briscoe,Isaiah Briscoe,briscis01,10/19/18
Isaiah Hartenstein,Isaiah Hartenstein,harteis01,10/17/18
Isaiah Hicks,Isaiah Hicks,hicksis01,2/8/18
Isaiah Taylor,Isaiah Taylor,taylois01,10/22/17
Isaiah Thomas,Isaiah Thomas,thomais02,1/2/18
Isaiah Whitehead,Isaiah Whitehead,whiteis01,10/29/17
Ivan Rabb,Ivan Rabb,rabbiv01,10/28/17
Ivica Zubac,Ivica Zubac,zubaciv01,10/31/17
J.J. Redick,J.J. Redick,redicjj01,10/18/17
J.P. Macura,J.P. Macura,macurjp01,1/2/19
J.R. Smith,J.R. Smith,smithjr01,10/17/17
Jabari Bird,Jabari Bird,birdja01,10/20/17
Jabari Parker,Jabari Parker,parkeja01,2/2/18
Jack Cooley,Jack Cooley,cooleja01,11/18/17
Jacob Pullen,Jacob Pullen,pulleja01,11/20/17
Jacob Wiley,Jacob Wiley,wileyja01,10/29/17
Jae Crowder,Jae Crowder,crowdja01,10/17/17
JaKarr Sampson,JaKarr Sampson,sampsja02,10/21/17
Jake Layman,Jake Layman,laymaja01,10/18/17
Jalen Brunson,Jalen Brunson,brunsja01,10/17/18
Jalen Jones,Jalen Jones,jonesja04,10/28/17
Jamal Crawford,Jamal Crawford,crawfja01,10/18/17
Jamal Murray,Jamal Murray,murraja01,10/18/17
Jamel Artis,Jamel Artis,artisja01,12/13/17
James Ennis,James Ennis,ennisja01,10/18/17
James Harden,James Harden,hardeja01,10/17/17
James Johnson,James Johnson,johnsja01,10/18/17
James Nunnally,James Nunnally,nunnaja01,10/26/18
James Young,James Young,youngja01,1/20/18
Jamil Wilson,Jamil Wilson,wilsoja02,11/20/17
JaMychal Green,JaMychal Green,greenja01,10/18/17
Jared Dudley,Jared Dudley,dudleja01,10/23/17
Jared Terrell,Jared Terrell,terreja01,11/4/18
Jarell Eddie,Jarell Eddie,eddieja01,1/23/18
Jarell Martin,Jarell Martin,martija01,10/18/17
Jaron Blossomgame,Jaron Blossomgame,blossja01,12/5/18
Jarred Vanderbilt,Jarred Vanderbilt,vandeja01,1/25/19
Jarrett Allen,Jarrett Allen,allenja01,10/20/17
Jarrett Jack,Jarrett Jack,jackja01,10/24/17
Jason Smith,Jason Smith,smithja02,10/18/17
Jason Terry,Jason Terry,terryja01,10/20/17
JaVale McGee,JaVale McGee,mcgeeja01,10/20/17
Jawun Evans,Jawun Evans,evansja01,10/30/17
Jaylen Adams,Jaylen Adams,adamsja01,10/17/18
Jaylen Brown,Jaylen Brown,brownja02,10/17/17
Jayson Tatum,Jayson Tatum,tatumja01,10/17/17
Jeff Green,Jeff Green,greenje02,10/17/17
Jeff Teague,Jeff Teague,teaguje01,10/18/17
Jeff Withey,Jeff Withey,witheje01,10/21/17
Jerami Grant,Jerami Grant,grantje01,10/19/17
Jeremy Evans,Jeremy Evans,evansje01,4/4/18
Jeremy Lamb,Jeremy Lamb,lambje01,10/18/17
Jeremy Lin,Jeremy Lin,linje01,10/18/17
Jerian Grant,Jerian Grant,grantje02,10/19/17
Jerome Robinson,Jerome Robinson,robinje01,10/26/18
Jerryd Bayless,Jerryd Bayless,bayleje01,10/18/17
Jevon Carter,Jevon Carter,carteje01,12/15/18
Jimmer Fredette,Jimmer Fredette,fredeji01,3/23/19
Jimmy Butler,Jimmy Butler,butleji01,10/18/17
Joakim Noah,Joakim Noah,noahjo01,11/27/17
Jodie Meeks,Jodie Meeks,meeksjo01,10/18/17
Joe Chealey,Joe Chealey,chealjo01,1/30/19
Joe Harris,Joe Harris,harrijo01,10/20/17
Joe Ingles,Joe Ingles,inglejo01,10/18/17
Joe Johnson,Joe Johnson,johnsjo02,10/18/17
Joel Bolomboy,Joel Bolomboy,bolomjo01,11/18/17
Joel Embiid,Joel Embiid,embiijo01,10/18/17
Joffrey Lauvergne,Joffrey Lauvergne,lauvejo01,10/18/17
John Collins,John Collins,collijo01,10/18/17
John Henson,John Henson,hensojo01,10/18/17
John Holland,John Holland,hollajo02,11/20/17
John Jenkins,John Jenkins,jenkijo01,2/2/19
John Wall,John Wall,walljo01,10/18/17
Johnathan Motley,Johnathan Motley,motlejo01,12/14/17
Johnathan Williams,Johnathan Williams,willijo04,10/22/18
Johnny O'Bryant,Johnny O'Bryant,obryajo01,10/20/17
Jon Leuer,Jon Leuer,leuerjo01,10/18/17
Jonah Bolden,Jonah Bolden,boldejo01,10/16/18
Jonas Jerebko,Jonas Jerebko,jerebjo01,10/24/17
Jonathan Isaac,Jonathan Isaac,isaacjo01,10/18/17
Jonathon Simmons,Jonathon Simmons,simmojo02,10/18/17
Jordan Bell,Jordan Bell,belljo01,10/17/17
Jordan Clarkson,Jordan Clarkson,clarkjo01,10/19/17
Jordan Crawford,Jordan Crawford,crawfjo02,10/18/17
Jordan Loyd,Jordan Loyd,loydjo01,10/29/18
Jordan McRae,Jordan McRae,mcraejo01,10/18/18
Jordan Mickey,Jordan Mickey,mickejo01,10/21/17
Jordan Sibert,Jordan Sibert,siberjo01,2/27/19
José Calderón,Jose Calderon,caldejo01,10/20/17
Josh Hart,Josh Hart,hartjo01,10/20/17
Josh Huestis,Josh Huestis,huestjo01,10/19/17
Josh Jackson,Josh Jackson,jacksjo02,10/18/17
Josh Magette,Josh Magette,magetjo01,10/18/17
Josh McRoberts,Josh McRoberts,mcrobjo01,1/9/18
Josh Okogie,Josh Okogie,okogijo01,10/20/18
Josh Richardson,Josh Richardson,richajo01,10/18/17
Jrue Holiday,Jrue Holiday,holidjr01,10/18/17
Julius Randle,Julius Randle,randlju01,10/19/17
Julyan Stone,Julyan Stone,stoneju01,10/18/17
Justin Anderson,Justin Anderson,anderju01,10/20/17
Justin Holiday,Justin Holiday,holidju01,10/19/17
Justin Jackson,Justin Jackson,jacksju01,10/18/17
Justin Patton,Justin Patton,pattoju01,4/1/18
Justise Winslow,Justise Winslow,winslju01,10/18/17
Kadeem Allen,Kadeem Allen,allenka01,12/11/17
Kalin Lucas,Kalin Lucas,lucaska01,1/21/19
Karl-Anthony Towns,Karl-Anthony Towns,townska01,10/18/17
Kawhi Leonard,Kawhi Leonard,leonaka01,12/12/17
Kay Felder,Kay Felder,feldeka01,10/19/17
Keita Bates-Diop,Keita Bates-Diop,bateske01,10/26/18
Kelly Olynyk,Kelly Olynyk,olynyke01,10/18/17
Kemba Walker,Kemba Walker,walkeke02,10/18/17
Kenneth Faried,Kenneth Faried,farieke01,10/18/17
Kenrich Williams,Kenrich Williams,willike04,10/17/18
Kent Bazemore,Kent Bazemore,bazemke01,10/18/17
Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,caldwke01,10/22/17
Kevin Durant,Kevin Durant,duranke01,10/17/17
Kevin Huerter,Kevin Huerter,huertke01,10/17/18
Kevin Knox,Kevin Knox,knoxke01,10/17/18
Kevin Love,Kevin Love,loveke01,10/17/17
Kevon Looney,Kevon Looney,looneke01,10/17/17
Khem Birch,Khem Birch,birchkh01,10/21/17
Khris Middleton,Khris Middleton,middlkh01,10/18/17
Khyri Thomas,Khyri Thomas,thomakh01,11/9/18
Klay Thompson,Klay Thompson,thompkl01,10/17/17
Kobi Simmons,Kobi Simmons,simmoko01,11/29/17
Kosta Koufos,Kosta Koufos,koufoko01,10/18/17
Kostas Antetokounmpo,Kostas Antetokounmpo,antetko01,3/20/19
Kris Dunn,Kris Dunn,dunnkr01,10/28/17
Kyle Anderson,Kyle Anderson,anderky01,10/18/17
Kyle Collinsworth,Kyle Collinsworth,colliky01,12/20/17
Kyle Korver,Kyle Korver,korveky01,10/17/17
Kyle Kuzma,Kyle Kuzma,kuzmaky01,10/19/17
